PROMPT,JAPANESE HAIKU,RUSSIAN TRANSLATION
Напиши хайку о ветре,春風にこかすな雛の駕の衆,Весенний ветер \ Не опрокинь \ Свиту паланкина кукол
Создай хайку о озере,春湖や岬は黒き牛を飼ふ,Весеннее озеро \ На мысе пасёт \ Чёрных коров
Придумай хайку о празднике,初午や賽銭よみは芝居から,Первый день лошади \ Чтение подношений \ Из театра
Напиши хайку о росе,さぞな袖葉には置ぬ春の露,Вот так рукава \ На листья не кладу \ Весеннюю росу
Создай хайку о зелени,緑摘む下にひろがり潦,Собираю зелень \ Внизу распространяется \ Лужа
Придумай хайку об одежде,縦のもの横にもせざる胴着脱ぐ,Вертикальные вещи \ Не делая горизонтальными \ Снимаю жилет
Напиши хайку о реке,小袖納櫃川の桜散にけり,Убирая кимоно в сундук \ Речная сакура \ Опала
Создай хайку о путешествии,寝袋をかつぎ黄金週間へ,Неся спальный мешок \ В золотую неделю
Придумай хайку о семье,姉弟可不可も凡に進級す,Брат и сестра ссорятся \ Обычно \ Переходят в класс
Напиши хайку о времени,民かくて日永になりぬ蜆汁,Люди такие \ Дни стали длинными \ Суп из корбикул
Создай хайку о доме,信濃路や宿かる家の蚕棚,Дорога Синано \ Дом где останавливаюсь \ Шелкопрядные полки
Придумай хайку о саде,根分せるもの何々ぞ百花園,Разделённые корни \ Что-то и что-то \ Сад ста цветов
